Product Handle,Product Title,Product Status,Shopify Product ID,Shopify Product GID,Shopify Admin URL,CJ Source SKU,CJ Product URL,Variant Title,Variant SKU,Shopify Variant ID,Shopify Variant GID,Inventory Item ID,Inventory Item GID,Inventory Tracked,Inventory Policy,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Option 3 Name,Option 3 Value,CJ Connection Step,Connection Status
sera-woven-table-runner,Sera Woven Table Runner,ACTIVE,15796866548046,gid://shopify/Product/15796866548046,https://admin.shopify.com/store/vre00g-8b/products/15796866548046,CJYD239088001AZ,https://cjdropshipping.com/product/home-decoration-simple-woven-cotton-and-linen-table-runner-p-2506020359111604900.html,Waffle / 33 x 200 cm,CM-CJYD239088001AZ-WAFFLE-33-X-200-CM,59516338471246,gid://shopify/ProductVariant/59516338471246,57931505992014,gid://shopify/InventoryItem/57931505992014,FALSE,CONTINUE,Pattern,Waffle,Size,33 x 200 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
sera-woven-table-runner,Sera Woven Table Runner,ACTIVE,15796866548046,gid://shopify/Product/15796866548046,https://admin.shopify.com/store/vre00g-8b/products/15796866548046,CJYD239088001AZ,https://cjdropshipping.com/product/home-decoration-simple-woven-cotton-and-linen-table-runner-p-2506020359111604900.html,Wavy / 33 x 160 cm,CM-CJYD239088001AZ-WAVY-33-X-160-CM,59516338504014,gid://shopify/ProductVariant/59516338504014,57931506024782,gid://shopify/InventoryItem/57931506024782,FALSE,CONTINUE,Pattern,Wavy,Size,33 x 160 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
sera-woven-table-runner,Sera Woven Table Runner,ACTIVE,15796866548046,gid://shopify/Product/15796866548046,https://admin.shopify.com/store/vre00g-8b/products/15796866548046,CJYD239088001AZ,https://cjdropshipping.com/product/home-decoration-simple-woven-cotton-and-linen-table-runner-p-2506020359111604900.html,Wavy / 33 x 183 cm,CM-CJYD239088001AZ-WAVY-33-X-183-CM,59516338536782,gid://shopify/ProductVariant/59516338536782,57931506057550,gid://shopify/InventoryItem/57931506057550,FALSE,CONTINUE,Pattern,Wavy,Size,33 x 183 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
sera-woven-table-runner,Sera Woven Table Runner,ACTIVE,15796866548046,gid://shopify/Product/15796866548046,https://admin.shopify.com/store/vre00g-8b/products/15796866548046,CJYD239088001AZ,https://cjdropshipping.com/product/home-decoration-simple-woven-cotton-and-linen-table-runner-p-2506020359111604900.html,Wavy / 33 x 200 cm,CM-CJYD239088001AZ-WAVY-33-X-200-CM,59516338569550,gid://shopify/ProductVariant/59516338569550,57931506090318,gid://shopify/InventoryItem/57931506090318,FALSE,CONTINUE,Pattern,Wavy,Size,33 x 200 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
sera-woven-table-runner,Sera Woven Table Runner,ACTIVE,15796866548046,gid://shopify/Product/15796866548046,https://admin.shopify.com/store/vre00g-8b/products/15796866548046,CJYD239088001AZ,https://cjdropshipping.com/product/home-decoration-simple-woven-cotton-and-linen-table-runner-p-2506020359111604900.html,Beijing Hemp / 33 x 160 cm,CM-CJYD239088001AZ-BEIJING-HEMP-33-X-160-CM,59516338602318,gid://shopify/ProductVariant/59516338602318,57931506123086,gid://shopify/InventoryItem/57931506123086,FALSE,CONTINUE,Pattern,Beijing Hemp,Size,33 x 160 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
sera-woven-table-runner,Sera Woven Table Runner,ACTIVE,15796866548046,gid://shopify/Product/15796866548046,https://admin.shopify.com/store/vre00g-8b/products/15796866548046,CJYD239088001AZ,https://cjdropshipping.com/product/home-decoration-simple-woven-cotton-and-linen-table-runner-p-2506020359111604900.html,Beijing Hemp / 33 x 183 cm,CM-CJYD239088001AZ-BEIJING-HEMP-33-X-183-CM,59516338635086,gid://shopify/ProductVariant/59516338635086,57931506155854,gid://shopify/InventoryItem/57931506155854,FALSE,CONTINUE,Pattern,Beijing Hemp,Size,33 x 183 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
sera-woven-table-runner,Sera Woven Table Runner,ACTIVE,15796866548046,gid://shopify/Product/15796866548046,https://admin.shopify.com/store/vre00g-8b/products/15796866548046,CJYD239088001AZ,https://cjdropshipping.com/product/home-decoration-simple-woven-cotton-and-linen-table-runner-p-2506020359111604900.html,Beijing Hemp / 33 x 200 cm,CM-CJYD239088001AZ-BEIJING-HEMP-33-X-200-CM,59516338667854,gid://shopify/ProductVariant/59516338667854,57931506188622,gid://shopify/InventoryItem/57931506188622,FALSE,CONTINUE,Pattern,Beijing Hemp,Size,33 x 200 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
sol-linen-cushion-cover,Sol Linen Cushion Cover,ACTIVE,15796866679118,gid://shopify/Product/15796866679118,https://admin.shopify.com/store/vre00g-8b/products/15796866679118,CJZT102408801AZ,https://www.cjdropshipping.com/product/solid-color-linen-sofa-pillow-cushion-living-room-pillow-cover-p-1365950473881915392.html,Light Grey,CM-CJZT102408801AZ-LIGHT-GREY,59516339585358,gid://shopify/ProductVariant/59516339585358,57931507106126,gid://shopify/InventoryItem/57931507106126,FALSE,CONTINUE,Color,Light Grey,,,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
sol-linen-cushion-cover,Sol Linen Cushion Cover,ACTIVE,15796866679118,gid://shopify/Product/15796866679118,https://admin.shopify.com/store/vre00g-8b/products/15796866679118,CJZT102408801AZ,https://www.cjdropshipping.com/product/solid-color-linen-sofa-pillow-cushion-living-room-pillow-cover-p-1365950473881915392.html,Khaki,CM-CJZT102408801AZ-KHAKI,59516339618126,gid://shopify/ProductVariant/59516339618126,57931507138894,gid://shopify/InventoryItem/57931507138894,FALSE,CONTINUE,Color,Khaki,,,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
sol-linen-cushion-cover,Sol Linen Cushion Cover,ACTIVE,15796866679118,gid://shopify/Product/15796866679118,https://admin.shopify.com/store/vre00g-8b/products/15796866679118,CJZT102408801AZ,https://www.cjdropshipping.com/product/solid-color-linen-sofa-pillow-cushion-living-room-pillow-cover-p-1365950473881915392.html,Coffee,CM-CJZT102408801AZ-COFFEE,59516339650894,gid://shopify/ProductVariant/59516339650894,57931507171662,gid://shopify/InventoryItem/57931507171662,FALSE,CONTINUE,Color,Coffee,,,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
